instance,new_cost,new_provisioned_gb,new_usage_gb,old_cost,old_provisioned_gb,old_usage_gb,cost_diff,provisioned_diff,usage_diff,storage_type,billing_model,optimization_note
DEVWin10Jump-image-20230506105213,1.52,1,0.00,1.52,1,0.00,-0.00,-0,0.00,VM_Disk,Provisioned,Low impact
AVD-PROD2-GOLD-image,3.38,2,0.00,3.38,2,0.00,-0.00,-0,0.00,VM_Disk,Provisioned,Low impact
cqfluencyautoteststrg,0.01,0,0.45,0.01,0,0.46,-0.00,0,-0.00,File_Storage,Usage-based,Low impact
MSPFW01EAST_OsDisk_1_82d5c638880c49d69fd0263f6ca5fc76,0.60,0,0.00,0.60,0,0.00,-0.00,-0,0.00,VM_Disk,Provisioned,Low impact
cqwatcherfunctionapp02,0.00,0,0.24,0.01,0,0.25,-0.00,0,-0.01,File_Storage,Usage-based,Low impact
cqstaticpages,0.00,0,0.03,0.00,0,0.09,-0.00,0,-0.06,File_Storage,Usage-based,Low impact
cqcontainerstorage,0.05,0,0.87,0.05,0,0.91,-0.00,0,-0.04,File_Storage,Usage-based,Low impact
snapshot-158bc82d-6ff5-4c3c-a5ef-05f2d868817b,0.00,0,0.00,0.00,0,0.00,-0.00,-0,0.00,VM_Disk,Provisioned,Low impact
cs410032004db6c2319,0.30,0,5.01,0.30,0,5.06,-0.00,0,-0.05,File_Storage,Usage-based,Low impact
RDSH18-OSdisk0,20.43,128,0.00,20.43,128,0.00,-0.00,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
msp-cqfluent-blue-02_OsDisk_1_c81015ec077b485f907ae586b9bd3963,5.28,32,0.00,5.28,32,0.00,-0.00,0,0.00,VM_Disk,Provisioned,Low impact
MSPFW01EAST_disk2_1e198e390b4b4e6fb52353fe6e0f0146,5.28,32,0.00,5.28,32,0.00,-0.00,0,0.00,VM_Disk,Provisioned,Low impact
msp-consumer-01-prod_OsDisk_1_df57acaf28034c4fa0d4a6649878d97a,5.28,32,0.00,5.28,32,0.00,-0.00,0,0.00,VM_Disk,Provisioned,Low impact
devmidtest-01_OsDisk_1_efcb1794366442cdb745fc6dbecb6c29,5.28,32,0.00,5.28,32,0.00,-0.00,0,0.00,VM_Disk,Provisioned,Low impact
MSP-DEVOPS-AK8S-EAST_OsDisk_1_cf5bdd6f60c84000ba6fdcd628a5877f,5.28,32,0.00,5.28,32,0.00,-0.00,0,0.00,VM_Disk,Provisioned,Low impact
msp-cqfluent-blue-01_OsDisk_1_807741a9aa7944478fdd50a249c535eb,5.28,32,0.00,5.28,32,0.00,-0.00,0,0.00,VM_Disk,Provisioned,Low impact
MSP-DevOps-jenkins-aks_OsDisk_1_4584838aa3ef463a8904ba48d7131992,5.28,32,0.00,5.28,32,0.00,-0.00,0,0.00,VM_Disk,Provisioned,Low impact
AVD-Prod-Image-osdisk,5.89,128,0.00,5.89,128,0.00,-0.00,0,0.00,VM_Disk,Provisioned,Low impact
AVD-Tech-Image-osdisk,5.89,128,0.00,5.89,128,0.00,-0.00,0,0.00,VM_Disk,Provisioned,Low impact
AVD-Prod2-Image-osdisk,5.89,128,0.00,5.89,128,0.00,-0.00,0,0.00,VM_Disk,Provisioned,Low impact
AVD-SI-Image-osdisk,5.89,128,0.00,5.89,128,0.00,-0.00,0,0.00,VM_Disk,Provisioned,Low impact
snapshot-d77b851b-5bd8-4a88-bae6-6b4ae04512ec,0.00,0,0.00,0.00,0,0.00,-0.00,-0,0.00,VM_Disk,Provisioned,Low impact
snapshot-7f3c6bc0-39ec-45c1-8b38-18f783ea9075,0.00,0,0.00,0.00,0,0.00,-0.00,-0,0.00,VM_Disk,Provisioned,Low impact
snapshot-c30526ba-e278-4c34-95b1-27bd1d22044d,0.00,0,0.00,0.00,0,0.00,-0.00,-0,0.00,VM_Disk,Provisioned,Low impact
snapshot-3e152a1f-b863-4332-b0ec-de9eb758ccf6,0.00,0,0.00,0.00,0,0.00,-0.00,-0,0.00,VM_Disk,Provisioned,Low impact
snapshot-2a02367c-c0a0-4497-a264-e83e8c2614aa,0.00,0,0.00,0.00,0,0.00,-0.00,-0,0.00,VM_Disk,Provisioned,Low impact
vm-d1f3c5-osDisk,9.60,128,0.00,9.60,128,0.00,-0.00,0,0.00,VM_Disk,Provisioned,Low impact
snapshot-c0f94256-dc22-46ba-871f-b47dec7f3a3e,0.00,0,0.00,0.00,0,0.00,-0.00,-0,0.00,VM_Disk,Provisioned,Low impact
snapshot-9c9b24b7-baf5-44c2-8bba-a7b3b3a54486,0.00,0,0.00,0.00,0,0.00,-0.00,-0,0.00,VM_Disk,Provisioned,Low impact
snapshot-04a0a1d5-1637-434c-a16f-369c8ed81348,0.00,0,0.00,0.00,0,0.00,-0.00,-0,0.00,VM_Disk,Provisioned,Low impact
snapshot-3c6a07b4-65f2-45c7-91be-8dfcd587d8ea,0.00,0,0.00,0.00,0,0.00,-0.00,-0,0.00,VM_Disk,Provisioned,Low impact
snapshot-c6c12a10-347f-492e-b714-f9528c68956d,0.00,0,0.00,0.00,0,0.00,-0.00,-0,0.00,VM_Disk,Provisioned,Low impact
snapshot-4ae88e1e-8174-43af-8cd1-9886196a473e,0.00,0,0.00,0.00,0,0.00,-0.00,-0,0.00,VM_Disk,Provisioned,Low impact
snapshot-6802dbf5-0954-47ca-b6f1-4f565d0a01a8,0.00,0,0.00,0.00,0,0.00,-0.00,-0,0.00,VM_Disk,Provisioned,Low impact
snapshot-3e6d105f-7485-417d-8a60-60ce648766e7,0.00,0,0.00,0.00,32,0.00,-0.00,-32,0.00,VM_Disk,Provisioned,Low impact
snapshot-652b41e6-14da-4b23-b724-cc377326b245,0.00,0,0.00,0.00,32,0.00,-0.00,-32,0.00,VM_Disk,Provisioned,Low impact
snapshot-6d99fb0c-414b-4a1a-a15c-dec56751cca8,0.00,0,0.00,0.00,32,0.00,-0.00,-32,0.00,VM_Disk,Provisioned,Low impact
snapshot-361496b4-cbe2-4e2f-ac81-b640307c03c0,0.00,0,0.00,0.00,32,0.00,-0.00,-32,0.00,VM_Disk,Provisioned,Low impact
snapshot-737837ef-b7f8-4426-9288-37395e2c854a,0.00,0,0.00,0.00,32,0.00,-0.00,-32,0.00,VM_Disk,Provisioned,Low impact
snapshot-7ba657b0-a5df-42ef-baca-53363ac180fa,0.00,0,0.00,0.00,32,0.00,-0.00,-32,0.00,VM_Disk,Provisioned,Low impact
snapshot-a53eccaf-6d61-4542-abd8-b7a6bb8fa9c7,0.00,0,0.00,0.00,32,0.00,-0.00,-32,0.00,VM_Disk,Provisioned,Low impact
snapshot-4e126df1-d2ae-44c5-af1b-e0be6b2364e2,0.00,0,0.00,0.00,32,0.00,-0.00,-32,0.00,VM_Disk,Provisioned,Low impact
snapshot-46b98d07-055a-4a9e-a18c-2b1e0d6f5c9a,0.00,0,0.00,0.00,32,0.00,-0.00,-32,0.00,VM_Disk,Provisioned,Low impact
snapshot-a796bb96-c574-4f68-a31c-723ea9b6dce1,0.00,0,0.00,0.00,32,0.00,-0.00,-32,0.00,VM_Disk,Provisioned,Low impact
snapshot-fdf3b35b-e0b9-4c06-aa09-b39bd93a6b2f,0.00,0,0.00,0.00,32,0.00,-0.00,-32,0.00,VM_Disk,Provisioned,Low impact
snapshot-c1b98baa-811f-4862-aa8e-904d446013f0,0.00,0,0.00,0.00,32,0.00,-0.00,-32,0.00,VM_Disk,Provisioned,Low impact
snapshot-21415c38-c744-4afd-bff6-e5f86b337f49,0.00,0,0.00,0.00,32,0.00,-0.00,-32,0.00,VM_Disk,Provisioned,Low impact
snapshot-15072f11-a0fc-4521-a0c8-ab760d31ddbf,0.00,0,0.00,0.00,32,0.00,-0.00,-32,0.00,VM_Disk,Provisioned,Low impact
snapshot-5fcfa77a-160f-4084-b77d-22d46cc78e98,0.00,0,0.00,0.00,32,0.00,-0.00,-32,0.00,VM_Disk,Provisioned,Low impact
snapshot-7ea67994-ad66-4a8a-b9df-1ad398651412,0.00,0,0.00,0.00,0,0.00,-0.00,-0,0.00,VM_Disk,Provisioned,Low impact
snapshot-0611d52d-c719-438d-859d-3245dc06ba17,0.00,0,0.00,0.00,32,0.00,-0.00,-32,0.00,VM_Disk,Provisioned,Low impact
snapshot-bef8392c-5208-4a81-9677-30642ea5146e,0.00,0,0.00,0.00,32,0.00,-0.00,-32,0.00,VM_Disk,Provisioned,Low impact
snapshot-511a0580-151d-43f4-a204-d803296323d0,0.00,0,0.00,0.00,32,0.00,-0.00,-32,0.00,VM_Disk,Provisioned,Low impact
snapshot-d906a693-49bd-4160-99b6-1651d72a644f,0.00,0,0.00,0.00,32,0.00,-0.00,-32,0.00,VM_Disk,Provisioned,Low impact
snapshot-c820254b-833e-49c3-a132-09a47f8f075d,0.00,0,0.00,0.00,32,0.00,-0.00,-32,0.00,VM_Disk,Provisioned,Low impact
snapshot-6358aa76-a911-4d34-bca2-bb2ac845ee3a,0.00,0,0.00,0.00,32,0.00,-0.00,-32,0.00,VM_Disk,Provisioned,Low impact
snapshot-e612722d-035d-4e3d-9258-b2f87cc67258,0.00,0,0.00,0.00,32,0.00,-0.00,-32,0.00,VM_Disk,Provisioned,Low impact
snapshot-e4ed63f2-488f-4dc5-8471-ba97677cd630,0.00,0,0.00,0.00,32,0.00,-0.00,-32,0.00,VM_Disk,Provisioned,Low impact
snapshot-310c446a-2802-408c-ac2c-0769dbaff202,0.00,0,0.00,0.00,32,0.00,-0.00,-32,0.00,VM_Disk,Provisioned,Low impact
snapshot-ed0d7e35-540c-41a6-943c-8caf430e96a0,0.00,0,0.00,0.00,32,0.00,-0.00,-32,0.00,VM_Disk,Provisioned,Low impact
snapshot-72cd0214-35cf-4230-8751-d881d884980e,0.00,0,0.00,0.00,32,0.00,-0.00,-32,0.00,VM_Disk,Provisioned,Low impact
snapshot-72c66381-8763-435f-8d18-74da31e56fc4,0.00,0,0.00,0.00,32,0.00,-0.00,-32,0.00,VM_Disk,Provisioned,Low impact
snapshot-a61be8f3-5ddb-4a82-8890-ebe78028692b,0.00,0,0.00,0.00,32,0.00,-0.00,-32,0.00,VM_Disk,Provisioned,Low impact
snapshot-edf863e0-b043-4a85-8d9d-369472fab3c0,0.00,0,0.00,0.00,32,0.00,-0.00,-32,0.00,VM_Disk,Provisioned,Low impact
CQF-PRODT-101-osdisk,19.71,128,0.00,19.71,128,0.00,-0.00,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
msp-storage01-datadisk3,19.71,128,0.00,19.71,128,0.00,-0.00,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
cqfluencyrgdisks533,19.71,0,1.00,19.71,0,1.00,-0.00,0,-0.00,File_Storage,Usage-based,HIGH: Consider archive/cool tiers
FS01osDisk,19.71,128,0.00,19.71,128,0.00,-0.00,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
msp-cqfluent-prod-blue-02_disk1_d201eb93c3c040fd9aaed438694d652d,19.71,128,0.00,19.71,128,0.00,-0.00,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
WS00-OSdisk0,19.71,128,0.00,19.71,128,0.00,-0.00,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
DEVWinJump-server_OsDisk_1_1295941b1f6b45e3ab1813860704183d,19.71,128,0.00,19.71,128,0.00,-0.00,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
CQF-OP-Gateway_OsDisk_1_dafcf7c5c23844fd8170e4161e222d76,19.71,128,0.00,19.71,128,0.00,-0.00,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
cqconnect-ap-blue-02_OsDisk_1_8b25590114ed48e5884e3632b7032b92,19.71,128,0.00,19.71,128,0.00,-0.00,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
msp-storage01-datadisk2,19.71,128,0.00,19.71,128,0.00,-0.00,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
DEVWinJump-server-MSP_OsDisk_1_fc4b3f067efc48ab99c00e5078f0e94c,19.71,128,0.00,19.71,128,0.00,-0.00,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
cqfluency-lm-win_OsDisk_1_9c0b8a1dd1b54bf2a07a108effe4221f,19.71,128,0.00,19.71,128,0.00,-0.00,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
RDSH01osDisk,19.71,128,0.00,19.71,128,0.00,-0.00,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
msp-cqfluent-prod-blue-01_OsDisk_1_1596bc48aa8945c2b2f4cbdb75ce5ad4,19.71,128,0.00,19.71,128,0.00,-0.00,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
MSP-DevOps-jenkins-aks_DataDisk_0,19.71,128,0.00,19.71,128,0.00,-0.00,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
MSP-K8S-jump_OsDisk_1_89025370f27e4fbbba724b9a3b8195fa,19.71,128,0.00,19.71,128,0.00,-0.00,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
DEVWin10Jump_disk1_589f2ee0c4454c80a0c4c36b8b3e9f21,19.71,128,0.00,19.71,128,0.00,-0.00,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
FS01dataDisk,19.71,128,0.00,19.71,128,0.00,-0.00,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
Windows10Mgmt_OsDisk_1_20c309024ec24d08911695d700ae6da4,19.71,128,0.00,19.71,128,0.00,-0.00,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
RDSH14_dataDisk0,38.01,256,0.00,38.02,256,0.00,-0.01,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
cqconnect-consumer-01-ap_OsDisk_1_a20f06c20f404e57bf9b2c2e50665a4b,38.01,256,0.00,38.02,256,0.00,-0.01,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
rdsh13_data_01,38.01,256,0.00,38.02,256,0.00,-0.01,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
rdsh13_data_02,38.01,256,0.00,38.02,256,0.00,-0.01,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
RDSH14_dataDisk1,38.01,256,0.00,38.02,256,0.00,-0.01,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
cqconnect-ap-blue-01_OsDisk_1_bd145dea0ffd45488e4293db51f3b07a,38.01,256,0.00,38.02,256,0.00,-0.01,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
STORAGE_OsDisk_1_b517af7d593141acb37c4ac34f5649f6,20.50,128,0.00,20.50,128,0.00,-0.01,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
TRADOSosDisk,6.87,128,0.00,6.88,128,0.00,-0.01,0,0.00,VM_Disk,Provisioned,Low impact
cqconnect-prod-02_OsDisk_1_707c7a0e07f049a39a33380eec3c66e2,73.22,512,0.00,73.23,512,0.00,-0.01,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
devmiddlewaremsp-osdisk-20230508-224223,73.22,512,0.00,73.23,512,0.00,-0.01,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
CQwatcher-Gateway-AD-2_OsDisk_1_9642fc0670ae4877996da6a21125c9e8,73.22,512,0.00,73.23,512,0.00,-0.01,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
DEVMiddleware_OsDisk_1_0e349f2ca286406d86803c90be736fe5,73.22,512,0.00,73.23,512,0.00,-0.01,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
RDSH09-OSdisk0,135.16,1024,0.00,135.18,1024,0.00,-0.02,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
memoq-cqf-db-data,135.16,1024,0.00,135.18,1024,0.00,-0.02,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
RDSH17-OSdisk0,135.16,1024,0.00,135.18,1024,0.00,-0.02,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
RDSH04-OSdisk0,135.16,1024,0.00,135.18,1024,0.00,-0.02,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
RDSH12-OSdisk0,135.16,1024,0.00,135.18,1024,0.00,-0.02,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
RDSH15-OSdisk0,135.16,1024,0.00,135.18,1024,0.00,-0.02,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
CQF-PROD-116-osdisk,12.27,128,0.00,12.29,128,0.00,-0.02,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
memoq,135.17,1024,0.00,135.19,1024,0.00,-0.02,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
memoq-db-cqf_disk1_39dcc78d479946659fd7391e41cc25db,135.16,1024,0.00,135.18,1024,0.00,-0.02,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
LMS_OsDisk_1_f9320e7dec954cbb968f4a90f5637629,38.24,256,0.00,38.26,256,0.00,-0.02,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
15.0.0,3.28,2,0.00,3.30,2,0.00,-0.02,-0,0.00,VM_Disk,Provisioned,Low impact
16.0.0,3.42,2,0.00,3.44,2,0.00,-0.02,-0,0.00,VM_Disk,Provisioned,Low impact
